Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9686628643852978,0.975196835840757,0.9880898876404495,0.9816010269194277
Isolation Forest,0.32449302915082384,0.8596444325624917,0.24086142322097379,0.3762909218571721
Autoencoder,0.5512674271229404,0.9813421375921376,0.478689138576779,0.6434900815627832
